report_root	kib	files	json	ptx	cubin	sass
b200-sm100-compiler-adapter-v01-2026-09-01	4	1	0	0	0	0
b200-sm100-feature-score-v02-2026-09-01	16568	243	13	45	45	45
kernel-frontier-fa1-fa4-classic-v03-2026-08-31	2436	111	62	0	0	0
kernel-frontier-v03-h200-nvl-141gb-2026-09-01	4084	259	72	9	9	6
kernel-frontier-v03-sm120-48gb-2026-08-31	2144	127	46	0	0	0
kernel-negative-controls-v03-a100-40gb-2026-08-31	2112	101	45	0	0	0
kernel-score-gradient-dense-v03-a100-40gb-2026-09-01	5792	259	134	0	0	0
kernel-score-gradient-v03-a100-40gb-2026-08-31	2712	125	62	0	0	0
kernel-score-gradient-v03-sm120-48gb-2026-08-31	3216	151	70	0	0	0
sm120-architecture-supplement-v03-2026-08-31	5676	298	123	0	0	0
sm120-architecture-support-evidence-v03-2026-08-31	212	16	5	0	0	0
